isbn,genre_id,genre,sub_genre_id,sub_genre,programing_language,title,author,published_at,price,is_stock,url
9784774189987,01,パソコン,0101,Windows,-,Windows 10 はじめる&楽しむ 100%入門ガイド,リンクアップ　著,2017-06-21,1020,1,http://gihyo.jp/book/2017/978-4-7741-8998-7
9784774189864,08,資格試験（IT）,0806,その他情報技術者試験,-,ネスペの基礎力,左門至峰，平田賀一　著,2017-05-19,2560,1,http://gihyo.jp/book/2017/978-4-7741-8986-4
9784774185088,08,資格試験（IT）,0806,その他情報技術者試験,-,平成29年度 ネットワークスペシャリスト合格教本,岡嶋裕史　著,2017-03-10,2980,1,http://gihyo.jp/book/2017/978-4-7741-8508-8
9784774190556,08,資格試験（IT）,0805,情報セキュリティ,-,平成29年度【秋期】情報処理安全確保支援士 パーフェクトラーニング過去問題集,エディフィストラーニング株式会社　著,2017-06-16,2980,1,http://gihyo.jp/book/2017/978-4-7741-9055-6
9784774184333,08,資格試験（IT）,0804,高度情報技術者,-,平成29年度 プロジェクトマネージャ合格教本,金子則彦　著,2016-10-05,3200,1,http://gihyo.jp/book/2016/978-4-7741-8433-3
9784774177083,08,資格試験（IT）,0804,高度情報技術者,-,平成28年度データベーススペシャリスト合格教本,金子則彦　著,2015-10-17,3200,0,http://gihyo.jp/book/2015/978-4-7741-7708-3
9784774190532,08,資格試験（IT）,0803,応用情報技術者,-,平成29年度【秋期】応用情報技術者 パーフェクトラーニング過去問題集,加藤昭，高見澤秀幸，矢野龍王　著,2017-06-13,1780,1,http://gihyo.jp/book/2017/978-4-7741-9053-2
9784774190525,08,資格試験（IT）,0802,基本情報技術者,-,平成29年度【秋期】基本情報技術者 パーフェクトラーニング過去問題集,山本三雄　著,2017-06-13,1480,1,http://gihyo.jp/book/2017/978-4-7741-9052-5
9784774190518,08,資格試験（IT）,0801,ITパスポート,-,平成29年【下半期】ITパスポートパーフェクトラーニング過去問題集,五十嵐聡　著,2017-06-10,1180,1,http://gihyo.jp/book/2017/978-4-7741-9051-8
9784774187051,07,ネットワーク・UNIX・データベース,0709,TeX・LaTeX,-,［改訂第7版］LaTeX2ε美文書作成入門,奥村晴彦，黒木裕介　著,2017-01-24,3200,1,http://gihyo.jp/book/2017/978-4-7741-8705-1
9784774187327,07,ネットワーク・UNIX・データベース,0705,データベース・SQLなど,-,［改訂第4版］SQLポケットリファレンス,朝井淳　著,2017-02-18,1980,1,http://gihyo.jp/book/2017/978-4-7741-8732-7
